MMSI,BaseDateTime,LAT,LON
368926303,2022-03-31T00:00:09,30.7887,-81.49683
367379190,2022-03-31T00:00:08,30.37054,-88.56409
367530590,2022-03-31T00:00:02,27.87201,-97.15886
316020878,2022-03-31T00:00:04,48.43225,-123.37207
367688280,2022-03-31T00:00:05,29.75823,-95.0979
367171050,2022-03-31T00:00:05,30.5139,-91.22441
210080000,2022-03-31T00:00:09,30.28172,-91.21723
338339802,2022-03-31T00:00:19,48.10777,-122.77319
367312950,2022-03-31T00:00:19,29.55521,-90.5274
367400840,2022-03-31T00:00:00,29.77961,-92.18367
303868000,2022-03-31T00:00:01,21.3074,-157.8729
367418130,2022-03-31T00:00:01,24.56261,-81.79949
368222160,2022-03-31T00:00:02,36.99627,-89.1568
368129630,2022-03-31T00:00:02,30.04621,-90.4745
368077270,2022-03-31T00:00:05,18.55858,-65.81738
367549260,2022-03-31T00:00:03,29.9267,-89.96876
368110390,2022-03-31T00:00:04,29.78563,-95.06627
319106300,2022-03-31T00:00:07,25.78444,-80.17884
368221370,2022-03-31T00:00:17,48.51256,-122.60889
368197950,2022-03-31T00:00:19,27.76058,-82.63486
367473140,2022-03-31T00:00:02,32.74603,-79.85187
369970762,2022-03-31T00:00:00,32.72055,-117.61943
368017210,2022-03-31T00:00:02,48.49268,-122.68032
368186370,2022-03-31T00:00:03,25.31101,-80.27967
368174460,2022-03-31T00:00:03,30.08837,-91.31006
367007540,2022-03-31T00:00:04,28.76234,-95.65033
367710960,2022-03-31T00:00:06,28.32083,-96.66006
368106960,2022-03-31T00:00:08,47.39402,-122.46303
366989960,2022-03-31T00:00:09,34.65877,-90.57762
338216539,2022-03-31T00:00:12,47.64973,-122.33013
366959090,2022-03-31T00:00:03,29.77797,-95.10082
240975000,2022-03-31T00:00:01,29.02183,-89.34005
368023390,2022-03-31T00:00:06,24.57767,-81.80828
368207090,2022-03-31T00:00:00,28.94523,-89.40135
367702430,2022-03-31T00:00:01,29.99716,-90.80373
636016978,2022-03-31T00:00:02,32.16355,-79.84809
367515290,2022-03-31T00:00:05,30.04858,-90.56709
564411000,2022-03-31T00:00:04,29.95339,-90.30581
367638120,2022-03-31T00:00:11,36.98988,-89.1484
367070360,2022-03-31T00:00:14,46.16741,-123.91747
316005616,2022-03-31T00:00:00,49.44258,-123.7416
377117000,2022-03-31T00:00:03,26.27292,-80.08065
368210950,2022-03-31T00:00:04,29.23546,-95.02227
257435000,2022-03-31T00:00:05,29.50263,-89.70417
366847780,2022-03-31T00:00:06,29.65443,-91.12341
367453020,2022-03-31T00:00:00,25.86906,-80.05932
367665030,2022-03-31T00:00:01,32.64538,-117.19291
367189030,2022-03-31T00:00:00,30.29043,-88.51271
367442770,2022-03-31T00:00:00,38.56362,-82.80687
367561870,2022-03-31T00:00:02,30.0405,-90.83822
209513000,2022-03-31T00:00:01,26.09387,-80.08081
368059470,2022-03-31T00:00:01,38.31697,-85.66319
366837890,2022-03-31T00:00:02,29.738,-95.12638
367599550,2022-03-31T00:00:02,28.30034,-96.69324
338225000,2022-03-31T00:00:02,26.12165,-94.8541
538070338,2022-03-31T00:00:04,26.09699,-80.16318
367508430,2022-03-31T00:00:05,29.72639,-95.22745
319129600,2022-03-31T00:00:06,27.20961,-95.80106
368187930,2022-03-31T00:00:07,30.09388,-91.31013
366995460,2022-03-31T00:00:02,30.18729,-91.12978
367473490,2022-03-31T00:00:05,29.8742,-89.95232
367007480,2022-03-31T00:00:04,29.69896,-95.00159
367600750,2022-03-31T00:00:09,29.74024,-95.1633
367007110,2022-03-31T00:00:09,30.08516,-90.91109
636019582,2022-03-31T00:00:00,48.48579,-124.63298
366986820,2022-03-31T00:00:03,41.47393,-90.64025
367352630,2022-03-31T00:00:02,30.402,-91.21446
636020655,2022-03-31T00:00:09,48.96478,-123.56615
356727000,2022-03-31T00:00:09,29.76361,-95.08054
367436440,2022-03-31T00:00:13,47.05795,-122.89805
636019200,2022-03-31T00:00:00,29.4433,-93.65433
367535280,2022-03-31T00:00:02,36.26611,-89.55817
367557410,2022-03-31T00:00:02,30.05956,-93.4652
367537770,2022-03-31T00:00:02,40.1215,-91.51236
367098050,2022-03-31T00:00:06,47.53817,-122.32905
308017000,2022-03-31T00:00:04,26.30462,-79.30937
338356082,2022-03-31T00:00:04,18.46044,-66.12071
367749970,2022-03-31T00:00:00,29.94606,-90.37453
316014107,2022-03-31T00:00:02,49.30212,-123.02312
316027744,2022-03-31T00:00:03,49.29144,-122.95908
366982350,2022-03-31T00:00:05,29.25429,-89.97265
367712180,2022-03-31T00:00:07,35.10244,-92.54503
366945650,2022-03-31T00:00:08,34.72733,-90.47434
367450580,2022-03-31T00:00:00,46.1687,-123.91403
248432000,2022-03-31T00:00:05,25.83653,-79.98413
255806154,2022-03-31T00:00:05,29.45907,-93.66731
368584000,2022-03-31T00:00:04,29.13599,-90.20224
368078510,2022-03-31T00:00:09,27.84334,-97.52462
368181070,2022-03-31T00:00:01,33.60041,-117.88354
366995360,2022-03-31T00:00:01,30.34193,-91.2287
368174450,2022-03-31T00:00:03,29.75126,-91.72724
367587010,2022-03-31T00:00:03,30.47707,-91.19492
367699340,2022-03-31T00:00:04,40.50489,-80.09003
367104560,2022-03-31T00:00:04,30.07737,-90.90212
366991110,2022-03-31T00:00:05,29.67437,-91.22999
248516000,2022-03-31T00:00:08,27.47552,-95.55095
367365210,2022-03-31T00:00:09,29.76363,-95.10823
367587990,2022-03-31T00:00:01,27.85353,-97.174
368251000,2022-03-31T00:00:03,47.28433,-122.40999
368198210,2022-03-31T00:00:05,27.82791,-97.49664
477004700,2022-03-31T00:00:04,28.05393,-86.11736
367519920,2022-03-31T00:00:01,29.68664,-91.17739
368199740,2022-03-31T00:00:03,29.29862,-94.84438
367717930,2022-03-31T00:00:04,29.7105,-93.85733
563093900,2022-03-31T00:00:08,30.05893,-88.42247
368045340,2022-03-31T00:00:00,40.2468,-80.65154
316001476,2022-03-31T00:00:01,48.65212,-123.44945
